Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,L,32EB1A06-01-L,,,TRUE,draft,,,
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,XL,32EB1A06-01-XL,,,TRUE,draft,,,
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,XXL,32EB1A06-01-XXL,,,TRUE,draft,,,
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,3XL,32EB1A06-01-3XL,,,TRUE,draft,,,
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,4XL,32EB1A06-01-4XL,,,TRUE,draft,,,
mizuno-training-short-m-09,Mizuno - Training Short (m) - 09,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eba520, colour-09, vat-standard",FALSE,Size,XS,32EBA520-09-XS,28,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EBA52009.jpg,1,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,S,32EBA520-09-S,28,,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,M,32EBA520-09-M,28,,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,L,32EBA520-09-L,28,,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,XL,32EBA520-09-XL,28,,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,XXL,32EBA520-09-XXL,28,,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,3XL,32EBA520-09-3XL,28,,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,4XL,32EBA520-09-4XL,28,,TRUE,draft,,,14
